OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
110,Art3mis,WZ,39.00,Starboard Duotronic Transition Multiplexer,199.00,18.55,3.00,3691.45,597.00,1672.4955,5960.9455,10/03/2018
115,River Song,WZ,39.00,Dynamic Resonance Buffer,209.00,17.00,4.08,3553.00,852.72,1718.2308,6123.9508,05/10/2018
115,Hiro Protagonist,CR,0.99,Dandelion Fluff,197.00,3.14,1.00,618.58,197.00,8.074242,823.654242,09/01/2016
116,Wesley Crusher,ED,40.00,Universal Gravitronic Dissipation Node,266.00,15.34,4.25,4080.44,1130.50,2084.3760,7295.3160,07/21/2018
117,Geordi La Forge,CM,13.93,Negative Transference Index,272.00,15.22,3.00,4139.84,816.00,690.348512,5646.188512,07/21/2019
122,Chakotay,WZ,39.00,Gravitronic Polarization Sequencer,356.00,7.82,1.81,2783.92,644.36,1337.0292,4765.3092,05/24/2017
129,C-3PO,CZ,-3.08,Duotronic Field Transducer,159.00,17.00,3.00,2703.00,477.00,-97.944000,3082.056000,08/24/2017
138,Wade Watts,LF,12.10,Modular Inertial Replication Scanner,353.00,7.00,3.00,2471.00,1059.00,427.13000,3957.13000,02/08/2018
139,Darth Sidious,LB,13.05,Rose Petals,305.00,203.00,1.00,61915.00,305.00,8119.710000,70339.710000,09/10/2017
143,Wesley Crusher,SC,41.56,Inertial Control Modulator,42.00,34.89,0.51,1465.38,21.42,617.914080,2104.714080,06/19/2019
146,Donna Noble,TO,19.00,Inertial Control Modulator,123.00,34.89,0.51,4291.47,62.73,827.2980,5181.4980,10/05/2016
147,Tuvok,RI,23.25,Active Dissipation Actuator,203.00,23.12,1.03,4693.36,209.09,1139.819625,6042.269625,10/02/2016
148,Darth Maul,WR,7.59,Molten Lava,47.00,668.78,49.00,31432.66,2303.00,2560.536594,36296.196594,04/03/2017
149,Ender Wiggin,SC,41.56,Bioneural Polarization Coil,279.00,29.84,3.00,8325.36,837.00,3807.876816,12970.236816,09/28/2017
150,Doctor Who,PB,12.00,Quantum Dissipation Matrix,103.00,28.54,0.53,2939.62,54.59,359.3052,3353.5152,11/15/2017
157,Tuvok,LI,24.47,Secondary Transition Regulator,248.00,35.69,3.00,8851.12,744.00,2347.925864,11943.045864,04/26/2017
158,Doctor Who,GT,27.00,Modular Transition Modulator,150.00,40.48,1.00,6072.00,150.00,1679.9400,7901.9400,04/14/2018
159,Donna Noble,LS,1.00,Molten Lava,137.00,668.78,49.00,91622.86,6713.00,983.3586,99319.2186,02/08/2018
168,Anakin Skywalker,WZ,39.00,Particle Deflector Grid,62.00,44.33,4.00,2748.46,248.00,1168.6194,4165.0794,08/17/2018
176,Darth Sidious,CA,32.64,Inertial Transference Modulator,185.00,32.72,0.00,6053.20,0.00,1975.764480,8028.964480,05/09/2018
177,K-9,RK,31.00,Magnetic Confinement Injector,203.00,9.00,4.00,1827.00,812.00,818.0900,3457.0900,10/03/2018
181,Clara Oswald,OS,29.83,Starboard Duotronic Transition Multiplexer,72.00,18.55,3.00,1335.60,216.00,462.842280,2014.442280,01/08/2018
181,Mazer Rackham,SO,39.00,Inertial Transference Modulator,250.00,32.72,0.00,8180.00,0.00,3190.2000,11370.2000,09/15/2016
190,Greedo,WG,18.89,Negative Flux Conduit,241.00,26.00,3.00,6266.00,723.00,1320.222100,8309.222100,05/23/2017
191,Quark,LO,9.43,Central Frequency Conduit,146.00,17.00,0.28,2482.00,40.88,237.907584,2760.787584,08/09/2017
198,Admiral Gial Ackbar,LS,1.00,Primary Flux Matrix,347.00,8.43,0.00,2925.21,0.00,29.2521,2954.4621,10/29/2017
199,Worf,CZ,-3.08,Bioneural Degeneration Sensor,53.00,20.00,3.00,1060.00,159.00,-37.545200,1181.454800,10/06/2017
207,Qui-Gon Jinn,VS,3.00,Holographic Variance Sensor,127.00,37.49,1.83,4761.23,232.41,149.8092,5143.4492,09/18/2016
207,Mazer Rackham,SR,39.11,Inertial Transference Modulator,358.00,32.72,0.00,11713.76,0.00,4581.251536,16295.011536,11/30/2016
208,Qui-Gon Jinn,CC,38.00,Dynamic Resonance Buffer,80.00,17.00,4.08,1360.00,326.40,640.8320,2327.2320,06/14/2018
209,Wesley Crusher,CB,1.00,Starboard Duotronic Transition Multiplexer,329.00,18.55,3.00,6102.95,987.00,70.8995,7160.8495,07/31/2017
210,Senator Palpatine,CV,44.00,Inertial Control Modulator,46.00,34.89,0.51,1604.94,23.46,716.4960,2344.8960,08/03/2017
218,Pavel Chekov,VS,3.00,Forward Ion Pulse Capacitor,307.00,0.99,2.00,303.93,614.00,27.5379,945.4679,12/25/2016
219,River Song,SC,41.56,Universal Degeneration Emitter,104.00,28.00,3.53,2912.00,367.12,1362.802272,4641.922272,03/21/2016
220,Clara Oswald,TM,-4.94,Subspace Transference Cell,81.00,45.49,2.15,3684.69,174.15,-190.626696,3668.213304,02/03/2017
221,Admiral Gial Ackbar,AM,15.40,Inertial Control Modulator,61.00,34.89,0.51,2128.29,31.11,332.54760,2491.94760,08/22/2015
225,Neelix,CY,-4.00,Auxiliary Transition Buffer,103.00,37.33,4.42,3844.99,455.26,-172.0100,4128.2400,04/26/2017
231,Q,GT,27.00,Starboard Duotronic Transition Multiplexer,105.00,18.55,3.00,1947.75,315.00,610.9425,2873.6925,02/15/2017
232,Chakotay,IC,0.00,Active Dissipation Actuator,221.00,23.12,1.03,5109.52,227.63,0.0000,5337.1500,05/15/2017
237,Q,AA,32.43,Primary Flux Matrix,263.00,8.43,0.00,2217.09,0.00,719.002287,2936.092287,12/26/2017
238,C-3PO,HR,-3.00,Starboard Duotronic Transition Multiplexer,83.00,18.55,3.00,1539.65,249.00,-53.6595,1734.9905,05/16/2018
239,Anakin Skywalker,LM,41.00,Holographic Variance Sensor,339.00,37.49,1.83,12709.11,620.37,5465.0868,18794.5668,05/01/2018
239,K-9,TS,29.62,Magnetic Confinement Injector,330.00,9.00,4.00,2970.00,1320.00,1270.698000,5560.698000,05/15/2017
247,Leonard McCoy,CZ,-3.08,Negative Isolinear Control Cell,236.00,15.00,1.84,3540.00,434.24,-122.406592,3851.833408,10/25/2016
248,Tuvok,AA,32.43,Modular Polarization Cell,351.00,6.90,0.00,2421.90,0.00,785.422170,3207.322170,11/22/2017
249,River Song,SM,25.29,Modular Polarization Cell,220.00,6.90,0.00,1518.00,0.00,383.902200,1901.902200,09/20/2016
255,Teal'c,RK,31.00,Modular Inertial Replication Scanner,320.00,7.00,3.00,2240.00,960.00,992.0000,4192.0000,10/05/2018
256,Q,WO,34.00,Particle Deflector Grid,239.00,44.33,4.00,10594.87,956.00,3927.2958,15478.1658,03/23/2017
257,Wesley Crusher,TS,29.62,Secondary Polarization Capacitor,228.00,30.00,2.70,6840.00,615.60,2208.348720,9663.948720,08/22/2018
259,Jabba the Hutt,TM,-4.94,Negative Flux Conduit,204.00,26.00,3.00,5304.00,612.00,-292.250400,5623.749600,10/16/2017
262,William Riker,LF,12.10,Modular Inertial Replication Scanner,193.00,7.00,3.00,1351.00,579.00,233.53000,2163.53000,05/02/2017
268,Qui-Gon Jinn,CR,0.99,Bioneural Degeneration Sensor,214.00,20.00,3.00,4280.00,642.00,48.727800,4970.727800,09/06/2016
277,James T. Kirk,MO,-2.00,Negative Isolinear Control Cell,129.00,15.00,1.84,1935.00,237.36,-43.4472,2128.9128,08/22/2015
278,James T. Kirk,FS,0.00,Starboard Molecular Transference Grid,104.00,26.00,2.00,2704.00,208.00,0.0000,2912.0000,06/10/2018
284,Daniel Jackson,BS,40.62,Holographic Transition Multiplexer,305.00,47.00,2.00,14335.00,610.00,6070.659000,21015.659000,11/05/2017
285,Andy Weir,SM,25.29,Negative Polarization Grid,252.00,18.44,2.39,4646.88,602.28,1327.512564,6576.672564,09/16/2017
286,Admiral Gial Ackbar,TA,36.00,Gravitronic Polarization Sequencer,206.00,7.82,1.81,1610.92,372.86,714.1608,2697.9408,05/31/2017
287,Darth Sidious,WR,7.59,Inertial Transference Modulator,298.00,32.72,0.00,9750.56,0.00,740.067504,10490.627504,05/03/2017
288,C-3PO,SM,25.29,Starboard Duotronic Transition Multiplexer,144.00,18.55,3.00,2671.20,432.00,784.799280,3887.999280,01/04/2018
291,Worf,GT,27.00,Active Dissipation Actuator,170.00,23.12,1.03,3930.40,175.10,1108.4850,5213.9850,08/25/2018
299,Anakin Skywalker,RI,23.25,Duotronic Field Transducer,67.00,17.00,3.00,1139.00,201.00,311.550000,1651.550000,01/30/2017
306,Lando Calrissian,FA,34.00,Active Transition Buffer,272.00,39.06,2.00,10624.32,544.00,3797.2288,14965.5488,08/24/2018
307,Pavel Chekov,LC,38.00,Peanut Shells,34.00,3.00,-3.00,102.00,-102.00,0.0000,0.0000,11/09/2016
315,Rae Sloane,BM,-3.00,Universal Gravitronic Dissipation Node,267.00,15.34,4.25,4095.78,1134.75,-156.9159,5073.6141,08/25/2017
315,Worf,TA,36.00,Duotronic Interference Actuator,233.00,33.00,1.00,7689.00,233.00,2851.9200,10773.9200,10/17/2018
319,Tasha Yar,DB,22.00,Secondary Transition Regulator,170.00,35.69,3.00,6067.30,510.00,1447.0060,8024.3060,09/02/2017
320,Wade Watts,BF,28.00,Dandelion Fluff,352.00,3.14,1.00,1105.28,352.00,408.0384,1865.3184,12/21/2016
329,Neelix,LS,1.00,Dynamic Resonance Buffer,322.00,17.00,4.08,5474.00,1313.76,67.8776,6855.6376,12/14/2016
337,Miles O'Brien,AS,28.74,Starboard Duotronic Transition Multiplexer,289.00,18.55,3.00,5360.95,867.00,1789.912830,8017.862830,10/21/2017
339,Odo,LC,38.00,Quantum Replication System,53.00,15.00,3.00,795.00,159.00,362.5200,1316.5200,11/11/2017
346,Rory Williams,CR,0.99,Subspace Transference Cell,93.00,45.49,2.15,4230.57,199.95,43.862148,4474.382148,11/09/2016
347,R2-D2,PB,12.00,Molten Lava,8.00,668.78,49.00,5350.24,392.00,689.0688,6431.3088,05/27/2017
348,Admiral Gial Ackbar,CB,1.00,Subspace Transference Cell,251.00,45.49,2.15,11417.99,539.65,119.5764,12077.2164,01/21/2017
350,Obi-Wan Kenobi,TO,19.00,Holographic Variance Sensor,210.00,37.49,1.83,7872.90,384.30,1568.8680,9826.0680,01/25/2018
355,Martha Jones,LM,41.00,Duotronic Interference Actuator,185.00,33.00,1.00,6105.00,185.00,2578.9000,8868.9000,01/07/2017
356,K-9,WA,-3.96,Particle Deflector Grid,241.00,44.33,4.00,10683.53,964.00,-461.242188,11186.287812,05/29/2018
356,Amy Pond,IR,21.00,Starboard Duotronic Transition Multiplexer,236.00,18.55,3.00,4377.80,708.00,1068.0180,6153.8180,06/16/2018
357,Jango Fett,WZ,39.00,Marmite,294.00,-1.67,3.00,-490.98,882.00,152.4978,543.5178,01/11/2017
358,Q,LF,12.10,Bioneural Degeneration Sensor,129.00,20.00,3.00,2580.00,387.00,359.00700,3326.00700,04/04/2018
359,Neelix,WO,34.00,Dandelion Fluff,385.00,3.14,1.00,1208.90,385.00,541.9260,2135.8260,06/15/2018
361,Andy Weir,IR,21.00,Dynamic Resonance Buffer,118.00,17.00,4.08,2006.00,481.44,522.3624,3009.8024,04/10/2017
361,Donna Noble,WE,15.00,Forward Ion Pulse Capacitor,243.00,0.99,2.00,240.57,486.00,108.9855,835.5555,05/01/2017
368,William Riker,FC,41.63,Marmite,359.00,-1.67,3.00,-599.53,1077.00,198.770761,676.240761,01/29/2018
369,Andy Weir,CA,32.64,Secondary Transition Regulator,146.00,35.69,3.00,5210.74,438.00,1843.748736,7492.488736,09/06/2017
371,Jango Fett,CM,13.93,Starboard Molecular Transference Grid,151.00,26.00,2.20,3926.00,332.20,593.167260,4851.367260,10/19/2017
380,James T. Kirk,PM,1.00,Negative Isolinear Control Cell,250.00,16.50,1.84,4125.00,460.00,45.8500,4630.8500,08/04/2017
381,K-9,TO,19.00,Auxiliary Transition Buffer,169.00,37.33,4.42,6308.77,746.98,1340.5925,8396.3425,02/16/2018
389,C-3PO,CY,-4.00,Forward Ion Pulse Capacitor,147.00,0.99,2.00,145.53,294.00,-17.5812,421.9488,12/31/2016
390,Wesley Crusher,IC,0.00,Secondary Transition Regulator,231.00,35.69,3.00,8244.39,693.00,0.0000,8937.3900,04/24/2018
391,James T. Kirk,WT,2.00,Reserve Axial Dissipation Inverter,136.00,0.00,3.05,0.00,414.80,8.2960,423.0960,01/14/2018
392,B'Elanna Torres,WO,34.00,Active Transition Buffer,274.00,39.06,2.00,10702.44,548.00,3825.1496,15075.5896,08/24/2016
393,Wade Watts,WR,7.59,Quantum Dissipation Matrix,66.00,28.54,0.53,1883.64,34.98,145.623258,2064.243258,08/20/2017
394,Rory Williams,FC,41.63,Magnetic Confinement Injector,244.00,9.00,4.00,2196.00,976.00,1320.503600,4492.503600,05/01/2017
395,Martha Jones,IC,0.00,Molten Lava,212.00,668.78,49.00,141781.36,10388.00,0.0000,152169.3600,06/29/2018
396,Anakin Skywalker,OS,29.83,Marmite,214.00,-1.67,3.00,-357.38,642.00,84.902146,369.522146,08/24/2017
398,Data,BM,-3.00,Subspace Transference Cell,190.00,45.49,2.15,8643.10,408.50,-271.5480,8780.0520,08/22/2016
402,R2-D2,WE,15.00,Primary Flux Matrix,345.00,8.43,0.00,2908.35,0.00,436.2525,3344.6025,08/27/2017
407,Ender Wiggin,WA,-3.96,Forward Ion Pulse Capacitor,390.00,0.99,2.00,386.10,780.00,-46.177560,1119.922440,09/21/2017
416,Pavel Chekov,BF,28.00,Modular Inertial Replication Scanner,264.00,7.00,3.00,1848.00,792.00,739.2000,3379.2000,01/22/2017
417,Donna Noble,LM,41.00,Secondary Transition Regulator,255.00,35.69,3.00,9100.95,765.00,4045.0395,13910.9895,11/16/2016
418,Admiral Gial Ackbar,WZ,39.00,Dynamic Resonance Buffer,185.00,17.00,4.08,3145.00,754.80,1520.9220,5420.7220,07/20/2017
425,Amy Pond,IC,0.00,Modular Polarization Cell,266.00,6.90,0.00,1835.40,0.00,0.0000,1835.4000,05/13/2017
426,Leonard McCoy,TF,36.00,Gravitronic Polarization Sequencer,255.00,7.82,1.81,1994.10,461.55,884.0340,3339.6840,04/11/2018
427,Wade Watts,ED,40.00,Quantum Replication System,206.00,15.00,3.00,3090.00,618.00,1483.2000,5191.2000,05/26/2017
428,Wade Watts,BS,40.62,Modular Holographic Interference Drive,264.00,31.21,0.92,8239.44,242.88,3445.518384,11927.838384,03/14/2018
429,Jonas Quinn,DM,27.52,Modular Holographic Interference Drive,199.00,31.21,0.92,6210.79,183.08,1759.593024,8153.463024,01/26/2017
435,James T. Kirk,SO,39.00,Rose Petals,173.00,203.00,1.00,35119.00,173.00,13763.8800,49055.8800,01/21/2019
436,Jean-Luc Picard,FO,22.67,Magnetic Confinement Injector,336.00,9.00,4.00,3024.00,1344.00,990.225600,5358.225600,04/04/2018
440,C-3PO,FS,0.00,Duotronic Phase Coil,102.00,47.00,2.58,4794.00,263.16,0.0000,5057.1600,08/25/2017
441,Geordi La Forge,SR,39.11,Duotronic Phase Coil,193.00,47.00,2.58,9071.00,497.94,3742.412434,13311.352434,10/16/2018
448,Q,WR,7.59,Active Dissipation Actuator,242.00,23.12,1.03,5595.04,249.26,443.582370,6287.882370,07/21/2019
456,Worf,WF,16.00,Dandelion Fluff,359.00,3.14,1.00,1127.26,359.00,237.8016,1724.0616,09/09/2017
459,Donna Noble,LB,13.05,Quantum Replication System,80.00,15.00,3.00,1200.00,240.00,187.920000,1627.920000,01/04/2017
468,William Riker,WT,2.00,Universal Degeneration Emitter,240.00,28.00,3.53,6720.00,847.20,151.3440,7718.5440,09/10/2016
470,River Song,BS,40.62,Duotronic Field Transducer,280.00,17.00,3.30,4760.00,924.00,2308.840800,7992.840800,10/22/2016
471,Obi-Wan Kenobi,DB,22.00,Starboard Molecular Transference Grid,314.00,26.00,2.20,8164.00,690.80,1948.0560,10802.8560,08/05/2018
472,Senator Palpatine,WF,16.00,Forward Ion Pulse Capacitor,215.00,0.99,2.00,212.85,430.00,102.8560,745.7060,09/03/2018
473,Quark,WT,2.00,Duotronic Interference Actuator,102.00,33.00,1.00,3366.00,102.00,69.3600,3537.3600,06/29/2018
478,Hiro Protagonist,SR,39.11,Dynamic Resonance Buffer,141.00,17.00,4.08,2397.00,575.28,1162.458708,4134.738708,11/08/2017
484,Odo,WO,34.00,Particle Deflector Grid,200.00,44.33,4.00,8866.00,800.00,3286.4400,12952.4400,10/30/2016
486,Hiro Protagonist,LO,10.37,Primary Flux Matrix,350.00,8.43,0.00,2950.50,0.00,305.966850,3256.466850,04/23/2017
487,Wesley Crusher,WR,7.59,Negative Polarization Grid,156.00,18.44,2.39,2876.64,372.84,246.635532,3496.115532,01/21/2019
491,Teal'c,CV,44.00,Modular Inertial Replication Scanner,195.00,7.00,3.00,1365.00,585.00,858.0000,2808.0000,04/13/2017
495,Qui-Gon Jinn,HR,-3.00,Peanut Shells,241.00,3.00,-3.00,723.00,-723.00,0.0000,0.0000,06/22/2017
495,Rae Sloane,PB,12.00,Secondary Transition Regulator,176.00,35.69,3.00,6281.44,528.00,817.1328,7626.5728,10/21/2015
496,B'Elanna Torres,SC,41.56,Duotronic Field Transducer,150.00,17.00,3.30,2550.00,495.00,1265.502000,4310.502000,05/01/2018
505,Jabba the Hutt,RG,44.00,Forward Ion Pulse Capacitor,235.00,0.99,2.00,232.65,470.00,309.1660,1011.8160,09/14/2018
506,Neelix,FC,41.63,Negative Polarization Grid,261.00,18.44,2.39,4812.84,623.79,2263.269069,7699.899069,03/17/2018
506,Wesley Crusher,BF,28.00,Burlap,208.00,6.00,0.00,1248.00,0.00,349.4400,1597.4400,07/01/2018
507,Pavel Chekov,SO,39.00,Inertial Transference Modulator,163.00,32.72,0.00,5333.36,0.00,2080.0104,7413.3704,08/28/2016
508,Neelix,PB,12.00,Negative Transference Index,205.00,15.22,3.00,3120.10,615.00,448.2120,4183.3120,01/13/2017
509,Neelix,LM,41.00,Subspace Phase Circuit,187.00,25.00,1.00,4675.00,187.00,1993.4200,6855.4200,01/07/2018
510,William Riker,WG,18.89,Starboard Molecular Transference Grid,240.00,26.00,2.20,6240.00,528.00,1278.475200,8046.475200,06/16/2017
511,Donna Noble,WA,-3.96,Particle Deflector Grid,149.00,44.33,4.00,6605.17,596.00,-285.166332,6916.003668,03/09/2018
520,Leonard McCoy,WA,-3.96,Negative Transference Index,170.00,15.22,3.00,2587.40,510.00,-122.657040,2974.742960,02/21/2017
522,Jango Fett,FH,-3.37,Particle Deflector Grid,348.00,44.33,4.00,15426.84,1392.00,-566.794908,16252.045092,04/22/2018
531,Hugh of Borg,FA,34.00,Negative Transference Index,258.00,15.22,3.00,3926.76,774.00,1598.2584,6299.0184,03/07/2017
535,William Riker,LM,41.00,Quantum Replication System,223.00,15.00,3.00,3345.00,669.00,1645.7400,5659.7400,10/16/2017
536,River Song,MM,5.19,Negative Control Compensator,275.00,21.00,1.00,5775.00,275.00,313.995000,6363.995000,08/07/2018
537,Anakin Skywalker,MO,-2.00,Subspace Phase Circuit,53.00,25.00,1.00,1325.00,53.00,-27.5600,1350.4400,09/01/2017
538,K-9,RO,15.00,Subspace Phase Circuit,241.00,25.00,1.00,6025.00,241.00,939.9000,7205.9000,09/14/2018
543,Tuvok,CI,25.00,Rose Petals,338.00,203.00,1.00,68614.00,338.00,17238.0000,86190.0000,09/21/2017
545,Samantha Carter,CA,32.64,Negative Polarization Grid,263.00,18.44,2.39,4849.72,628.57,1788.113856,7266.403856,12/24/2016
546,Darth Vader,FO,22.67,Central Frequency Conduit,207.00,17.00,0.28,3519.00,57.96,810.896832,4387.856832,09/01/2018
555,Worf,FC,41.63,Duotronic Interference Actuator,328.00,33.00,1.00,10824.00,328.00,4642.577600,15794.577600,09/20/2017
556,Hugh of Borg,RC,42.00,Starboard Molecular Transference Grid,199.00,26.00,2.20,5174.00,437.80,2356.9560,7968.7560,04/14/2018
564,Andy Weir,HR,-3.00,Gravitronic Polarization Sequencer,265.00,7.82,1.81,2072.30,479.65,-76.5585,2475.3915,10/21/2017
565,Wade Watts,SM,25.29,Bioneural Polarization Coil,19.00,29.84,3.00,566.96,57.00,157.799484,781.759484,10/12/2017
566,C-3PO,CC,38.00,Auxiliary Transition Buffer,162.00,37.33,4.42,6047.46,716.04,2570.1300,9333.6300,02/02/2017
567,Martha Jones,DO,39.00,Subspace Phase Circuit,176.00,25.00,1.00,4400.00,176.00,1784.6400,6360.6400,08/07/2018
570,Obi-Wan Kenobi,SR,39.11,Duotronic Phase Coil,192.00,47.00,2.58,9024.00,495.36,3723.021696,13242.381696,11/09/2016
571,Jean-Luc Picard,TF,36.00,Inertial Transference Modulator,111.00,32.72,0.00,3631.92,0.00,1307.4912,4939.4112,06/07/2017
572,Martha Jones,RC,42.00,Active Transition Buffer,346.00,39.06,2.00,13514.76,692.00,5966.8392,20173.5992,06/09/2017
573,Jonas Quinn,AA,32.43,Negative Flux Conduit,303.00,26.00,3.00,7878.00,909.00,2849.624100,11636.624100,10/20/2018
580,Neelix,BS,40.62,Negative Isolinear Control Cell,181.00,16.50,1.84,2986.50,333.04,1348.397148,4667.937148,07/20/2018
584,Data,BO,19.60,Active Transition Buffer,290.00,39.06,2.00,11327.40,580.00,2333.85040,14241.25040,09/20/2017
591,Jango Fett,LC,38.00,Universal Degeneration Emitter,152.00,28.00,3.53,4256.00,536.56,1821.1728,6613.7328,09/03/2018
